,S5_1,S5_2,S5_3,S5_4,S5_5,S5_6,S5_7,S5_8,
ASV_97,0,0.000164687,0.000185273,0.000185273,2.06E-05,0.000267616,0.000411717,0,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Fulvivirgaceae;g__Chryseolinea
ASV_114,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea
ASV_279,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter
ASV_116,0.004899438,0.005805216,0.001441011,0.000432303,0.005578772,0.006813924,0.002285032,0.002552648,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiales_incertae_sedis;g__Thiobacter
ASV_85,0,0,0,0,0,0,2.06E-05,2.06E-05,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Methyloligella
ASV_109,0,0,0,0,2.06E-05,0,2.06E-05,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae
ASV_4219,0,0,4.12E-05,0,0,0,4.12E-05,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria
ASV_2651,0.000391132,0.000370546,0.000411717,0.000391132,0.000391132,0.001811557,0.001235152,0.000638162,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter
ASV_237,4.12E-05,0.000164687,2.06E-05,0,4.12E-05,4.12E-05,4.12E-05,0.000370546,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales
ASV_93,0,2.06E-05,0,0,0,4.12E-05,6.18E-05,0,k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Thermodesulfovibrio
ASV_99,0.001420425,0.000226445,0.000988122,0.001811557,0.001193981,0.002655578,0.000123515,0.000329374,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa
ASV_105,4.12E-05,6.18E-05,4.12E-05,2.06E-05,0,0,2.06E-05,2.06E-05,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia
ASV_111,0.000185273,8.23E-05,8.23E-05,0.000226445,0.000411717,0.000102929,0,0.000164687,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales
ASV_83,0,2.06E-05,0,0,4.12E-05,0,0,0,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa
ASV_1658,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Thioprofundaceae;g__Thioprofundum
ASV_98,4.12E-05,0,0,0,0,0,0,0,k__Bacteria;p__Firmicutes;c__Clostridia
ASV_127,0.001255738,0.003211396,0.001688042,0.000370546,0.002511477,0.006114005,0.007287399,0.009325401,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Sterolibacteriaceae;g__Methyloversatilis
ASV_115,0.00094695,0.002120345,0.001708628,0.000329374,0.001914486,0.011383988,0.010210593,0.01955658,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Chitinimonas
ASV_96,0.002490891,0.000741091,0.003314326,0.001317496,0.002223274,0.001399839,0.00069992,0.000823435,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
ASV_124,0.00024703,0,0,2.06E-05,0.000164687,0.000123515,0.000185273,0.000329374,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales
ASV_133,0.002223274,0.000494061,0.000123515,0,0.000267616,0.000802849,0.000638162,0.00059699,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae
ASV_113,0.001749799,0.000720506,0.001008708,0.001317496,0.00069992,0.000782263,0.000185273,0.000288202,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces
ASV_107,0,2.06E-05,0,0,0,0,0,2.06E-05,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae
ASV_161,6.18E-05,8.23E-05,0.00024703,6.18E-05,0.000205859,0.001873315,0.000226445,0.000905778,k__Bacteria;p__Proteobacteria
ASV_120,0.000185273,0.00024703,0.000226445,0.000185273,6.18E-05,0.000638162,0.000391132,0.000432303,k__Bacteria;p__Actinobacteria;c__Actinobacteria
ASV_102,4.12E-05,0.00104988,0.000329374,6.18E-05,0.00024703,0.002923194,0.000473475,0.000494061,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Lacibacterium
ASV_110,0,0,0,2.06E-05,0,0,0,2.06E-05,k__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum
ASV_137,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter
